title,genre,year,director
The Dark Knight,"Action, Crime, Drama",2008.0,Christopher Nolan
The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",2003.0,Peter Jackson
Inception,"Action, Adventure, Sci-Fi",2010.0,Christopher Nolan
The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",2001.0,Peter Jackson
The Lord of the Rings: The Two Towers,"Action, Adventure, Drama",2002.0,Peter Jackson
Hamilton,"Biography, Drama, History",2020.0,Thomas Kail
Gisaengchung,"Comedy, Drama, Thriller",2019.0,Bong Joon Ho
Soorarai Pottru,Drama,2020.0,Sudha Kongara
Interstellar,"Adventure, Drama, Sci-Fi",2014.0,Christopher Nolan
Cidade de Deus,"Crime, Drama",2002.0,Fernando Meirelles
Sen to Chihiro no kamikakushi,"Animation, Adventure, Family",2001.0,Hayao Miyazaki
Joker,"Crime, Drama, Thriller",2019.0,Todd Phillips
Whiplash,"Drama, Music",2014.0,Damien Chazelle
The Intouchables,"Biography, Comedy, Drama",2011.0,Olivier Nakache
The Prestige,"Drama, Mystery, Sci-Fi",2006.0,Christopher Nolan
The Departed,"Crime, Drama, Thriller",2006.0,Martin Scorsese
The Pianist,"Biography, Drama, Music",2002.0,Roman Polanski
Gladiator,"Action, Adventure, Drama",2000.0,Ridley Scott
Capharnaüm,Drama,2018.0,Nadine Labaki
Ayla: The Daughter of War,"Biography, Drama, History",2017.0,Can Ulkay
Vikram Vedha,"Action, Crime, Drama",2017.0,Gayatri
Kimi no na wa.,"Animation, Drama, Fantasy",2016.0,Makoto Shinkai
Dangal,"Action, Biography, Drama",2016.0,Nitesh Tiwari
Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",2018.0,Bob Persichetti
Avengers: Endgame,"Action, Adventure, Drama",2019.0,Anthony Russo
Avengers: Infinity War,"Action, Adventure, Sci-Fi",2018.0,Anthony Russo
Coco,"Animation, Adventure, Family",2017.0,Lee Unkrich
Django Unchained,"Drama, Western",2012.0,Quentin Tarantino
The Dark Knight Rises,"Action, Adventure",2012.0,Christopher Nolan
3 Idiots,"Comedy, Drama",2009.0,Rajkumar Hirani
Taare Zameen Par,"Drama, Family",2007.0,Aamir Khan
WALL·E,"Animation, Adventure, Family",2008.0,Andrew Stanton
The Lives of Others,"Drama, Mystery, Thriller",2006.0,Florian Henckel von Donnersmarck
Oldeuboi,"Action, Drama, Mystery",2003.0,Chan-wook Park
Memento,"Mystery, Thriller",2000.0,Christopher Nolan
1917,"Drama, Thriller, War",2019.0,Sam Mendes
Tumbbad,"Drama, Fantasy, Horror",2018.0,Rahi Anil Barve
Andhadhun,"Crime, Drama, Music",2018.0,Sriram Raghavan
Drishyam,"Crime, Drama, Thriller",2013.0,Jeethu Joseph
Jagten,Drama,2012.0,Thomas Vinterberg
Jodaeiye Nader az Simin,Drama,2011.0,Asghar Farhadi
Incendies,"Drama, Mystery, War",2010.0,Denis Villeneuve
Miracle in cell NO.7,Drama,2019.0,Mehmet Ada Öztekin
Babam ve Oglum,"Drama, Family",2005.0,Çagan Irmak
Inglourious Basterds,"Adventure, Drama, War",2009.0,Quentin Tarantino
Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",2004.0,Michel Gondry
Amélie,"Comedy, Romance",2001.0,Jean-Pierre Jeunet
Snatch,"Comedy, Crime",2000.0,Guy Ritchie
